Role,Grouping
Active Defense,Not Enough
Active Defense,Not Enough
AI,AI/ML/Data Science
AI,AI/ML/Data Science
AI,AI/ML/Data Science
AI,AI/ML/Data Science
AI,AI/ML/Data Science
AI,AI/ML/Data Science
AI,AI/ML/Data Science
AI,AI/ML/Data Science
AI ,AI/ML/Data Science
AI ,AI/ML/Data Science
AI ,AI/ML/Data Science
AI/ML,AI/ML/Data Science
AI/ML/Data Science,AI/ML/Data Science
AI/ML/Data Science,AI/ML/Data Science
AI/ML/Data Science ,AI/ML/Data Science
Analytics,Analyst
Analytics,Analyst
Analytics,Analyst
Analytics,Analyst
Analytics,Analyst
Analytics,Analyst
Anti Phishing,Analyst
App Pen Testing,Red Team
Application Security Engineer,Cloud
Application Security Engineer,Cloud
Application Security Engineer,Cloud
Application Security Engineer,Cloud
Automation,Cloud
Automation,Cloud
Automation,Cloud
Automation,Cloud
Automation,Cloud
Automation,Cloud
Automation,Cloud
Automation,Cloud
Automation,Cloud
Automation,Cloud
Automation,Cloud
Automation,Cloud
Automation,Cloud
BISO,Buisness
BISO,Buisness
BISO,Buisness
BISO,Buisness
Blockchain,Blockchain
Blockchain,Blockchain
Blockchain,Blockchain
Blue Team,Not Enough
Bug bounty,Red Team
Chief Data Officer,Buisness
CISO,Buisness
CISO,Buisness
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud,Cloud
Cloud Architect,Cloud
Cloud Architect,Cloud
Cloud Architect,Cloud
Cloud based,Cloud
Cloud IR,Cloud
Cloud IR,Cloud
Cloud PEN tester,Red Team
Cloud security,Cloud
Cloud Security,Cloud
Cloud security,Cloud
Cloud Security,Cloud
Cloud security,Cloud
cloud security,Cloud
Cloud Security,Cloud
Cloud Security,Cloud
Cloud Security,Cloud
Cloud Security,Cloud
Cloud security,Cloud
Cloud security,Cloud
Cloud Security,Cloud
Cloud Security,Cloud
Cloud Security,Cloud
Cloud Security,Cloud
Cloud security ,Cloud
Cloud Security ,Cloud
Cloud Security ,Cloud
Cloud security ,Cloud
Cloud security ,Cloud
Cloud security ,Cloud
Cloud security ,Cloud
Cloud security architect,Cloud
Cloud Security Architect ,Cloud
Cloud Security Architect ,Cloud
Cloud Security Architect ,Cloud
Cloud Security Architect ,Cloud
Cloud Security Engineer,Cloud
Cloud security engineer,Not Enough
Cloud security engineer,Not Enough
Communication skills,Not Enough
Compliance,GRC
Compliance,GRC
Compliance,GRC
Compliance,GRC
Consulting,Not Enough
Container Security,Cloud
Container Security,Cloud
Container Security,Cloud
Container security ,Cloud
Counter-disinformation,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI,Analyst
CTI ,Analyst
CTI Fusion,Analyst
cyber digital transformation,Not Enough
Cyber Janitor ,Not Enough
CyberDefence will slowly gain momentum,Not Enough
Cybersecurity Architect,Not Enough
Cybersecurity Architect,Not Enough
Dark blockchain ,Blockchain
Dark Web Analyst,Not Enough
data engineer,Not Enough
Data Engineering,Not Enough
Data Queen,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
Data Science,AI/ML/Data Science
data/privacy officer,Buisness
Data Science,AI/ML/Data Science
DEFCON Goon,Not Enough
Detection Engineer,Not Enough
Detection Engineer,Not Enough
Detection Engineer,Not Enough
Detection engineer,Not Enough
Detection Engineer,Not Enough
Detection Engineer,Not Enough
Detection Engineer,Not Enough
Detection Engineer,Not Enough
Detections Architect,Not Enough
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DevSecOps,Cloud
DFIR,Not Enough
DFIR,Not Enough
DFIR,Not Enough
DFIR,Not Enough
Education,Not Enough
Endpoints,Not Enough
Ethical hacking,Red Team
Forensics,Not Enough
Forensics,Not Enough
Full time security researcher,Not Enough
Governence and Risk,GRC
GRC,GRC
GRC,GRC
GRC,GRC
GRC,GRC
GRC,GRC
GRC,GRC
Green Teamers,Not Enough
Hacking,Red Team
Hacking,Red Team
IAM,Cloud
IAM,Cloud
IAM,Cloud
ICS,Not Enough
ICS,Not Enough
ICS,Not Enough
ICS,Not Enough
ICS,Not Enough
Incident Management ,Analyst
Incident Response,Analyst
Incident Response,Analyst
Incident response ,Analyst
Incident response ,Analyst
Insider Threat,Not Enough
Insider Threat,Not Enough
Integration Engineer,Not Enough
Intel,Analyst
Intel,Analyst
Intel,Analyst
Intel,Analyst
IOT,Not Enough
IOT,Not Enough
IOT,Not Enough
IOT,Not Enough
IOT,Not Enough
IOT,Not Enough
IOT,Not Enough
IR,Not Enough
IR,Not Enough
Magenta Team,Not Enough
MalwareRE,Not Enough
MalwareRE,Not Enough
MalwareRE,Not Enough
ML,AI/ML/Data Science
ML,AI/ML/Data Science
ML,AI/ML/Data Science
ML,AI/ML/Data Science
ML,AI/ML/Data Science
ML,AI/ML/Data Science
ML,AI/ML/Data Science
ML,AI/ML/Data Science
ML,AI/ML/Data Science
ML,AI/ML/Data Science
ML,AI/ML/Data Science
ML,AI/ML/Data Science
ML,AI/ML/Data Science
ML,AI/ML/Data Science
ML/AI,AI/ML/Data Science
ML/AI,AI/ML/Data Science
Mobile Forensics,Not Enough
Network Forensics,Not Enough
Offensive Security,Not Enough
Orange Teamer,Not Enough
OSINT,Analyst
OSINT,Analyst
Pen Tester,Red Team
Penetration Tester,Red Team
Penetration Tester,Red Team
Penetration Tester,Red Team
Penetration Tester,Red Team
Penetration Tester,Red Team
Penetration Tester,Red Team
Penetration Tester,Red Team
Penetration Tester,Red Team
Penetration Tester,Red Team
Penetration Tester,Red Team
Penetration Testing,Red Team
Penetration Testing,Red Team
Privacy,Not Enough
Process Design,Not Enough
Product Security,Not Enough
Purple Team,Not Enough
Purple team,Not Enough
Purple team,Not Enough
Purple team,Not Enough
Purple team,Not Enough
Purple team,Not Enough
Purple Team,Not Enough
Purple Team,Not Enough
Purple Team,Not Enough
Purple teamer,Not Enough
Purple teamer,Not Enough
Quantitive risk analysis ,Not Enough
Quantum Computin,Not Enough
Quantum Computing,Not Enough
Quantum Computing Cryptographic Hazards Management ,Not Enough
Red team,Red Team
Red team,Red Team
Red team,Red Team
Red team,Red Team
Red team,Red Team
Red team,Red Team
Red Teams,Red Team
Remote work ,Not Enough
Risk management,GRC
SecDevOps,Cloud
SecDevOps,Cloud
Security Analyst ,Not Enough
Security Analyst ,Not Enough
Security Education,Not Enough
security strategists,Not Enough
security strategists,Not Enough
SOAR,Not Enough
SOAR engineer,Not Enough
SOAR engineer,Not Enough
SOC,Not Enough
SOC Analyst!,Not Enough
Solutions Architects. ,Not Enough
Supply Chain,Not Enough
Supply Chain,Not Enough
Supply Chain,Not Enough
System isolation analyst,Not Enough
Thought Leader,Not Enough
Thought leader,Not Enough
Thought Leader,Not Enough
Thought Leader,Not Enough
Thought Leader,Not Enough
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat Hunter,Threat Hunting
Threat Hunter,Threat Hunting
Threat Hunter,Threat Hunting
Threat Hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat Hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat hunter,Threat Hunting
Threat Hunter,Threat Hunting
Threat Hunter,Threat Hunting
Threat Hunting,Threat Hunting
Threat Hunting,Threat Hunting
Threat Manager,Threat Hunting
UX,Not Enough
Vuln CTI,Not Enough
XDR,Not Enough
Zerotrust,Not Enough
ZeroTrust,Not Enough
ZeroTrust,Not Enough
Zerotrust,Not Enough